wordID,docIDs,frequencies,hitlists
0,11,1,"0, 216"
1,11;16,1;1,"0, 259;0, 1217"
2,11,1,"0, 279"
3,11;13,1;1,"0, 280;0, 863"
4,11,3,"0, 286|0, 328|0, 343"
5,11,1,"0, 296"
6,11,2,"0, 306|0, 361"
7,11,1,"0, 312"
8,11,1,"0, 318"
9,11,1,"0, 321"
10,11,1,"0, 334"
11,11,1,"0, 340"
12,11,1,"0, 367"
13,11;15,1;1,"0, 387;0, 512"
14,11;13,1;1,"0, 397;0, 590"
15,11;15,1;1,"0, 409;0, 636"
16,11,1,"0, 411"
17,11,2,"0, 414|0, 489"
18,11,2,"0, 415|0, 490"
19,11,2,"0, 418|0, 510"
20,11;19,1;3,"0, 440;0, 317|0, 456|0, 1679"
21,11,1,"0, 449"
22,11,1,"0, 453"
23,11;19,1;1,"0, 454;0, 60"
24,11,1,"0, 468"
25,11;13;16,2;2;2,"0, 469|0, 874;0, 277|0, 851;0, 295|0, 1467"
26,11;17,1;3,"0, 486;3, 2|0, 27|2, 2"
27,11;19,1;2,"0, 493;0, 384|0, 1198"
28,11,4,"0, 495|0, 518|0, 778|0, 1642"
29,11;14,1;1,"0, 501;0, 365"
30,11,1,"0, 520"
31,11,1,"0, 535"
32,11,1,"0, 536"
33,11;19,1;10,"0, 540;0, 385|0, 457|0, 470|0, 643|0, 656|0, 695|0, 771|0, 846|0, 1333|0, 1682"
34,11,5,"0, 544|0, 559|0, 611|0, 638|0, 655"
35,11;19,3;10,"0, 551|0, 605|0, 643;0, 86|0, 267|0, 289|0, 326|0, 416|0, 445|0, 475|0, 496|0, 717|0, 793"
36,11;13,1;1,"0, 555;0, 686"
37,11,1,"0, 567"
38,11,2,"0, 580|0, 1395"
39,11,1,"0, 589"
40,11,1,"0, 593"
41,11,2,"0, 594|0, 1289"
42,11,1,"0, 603"
43,11,1,"0, 629"
44,11;16,1;1,"0, 630;0, 1087"
45,11;18,1;2,"0, 645;0, 427|0, 482"
46,11,1,"0, 681"
47,11,1,"0, 704"
48,11,1,"0, 719"
49,11,1,"0, 738"
50,11,1,"0, 770"
51,11;13,1;1,"0, 780;0, 346"
52,11;13;18;19,1;1;1;1,"0, 783;0, 225;0, 199;0, 1560"
53,11,2,"0, 823|0, 830"
54,11,3,"0, 824|0, 831|0, 1045"
55,11,3,"0, 829|0, 894|0, 1022"
56,11,1,"0, 841"
57,11,1,"0, 849"
58,11,1,"0, 850"
59,11,2,"0, 851|0, 857"
60,11,2,"0, 852|0, 858"
61,11,1,"0, 856"
62,11,1,"0, 863"
63,11,1,"0, 864"
64,11;18,1;1,"0, 866;0, 589"
65,11,1,"0, 887"
66,11,1,"0, 890"
67,11,2,"0, 899|0, 914"
68,11,1,"0, 903"
69,11,2,"0, 905|0, 1244"
70,11;13,1;1,"0, 911;0, 742"
71,11;18,1;2,"0, 924;0, 245|0, 275"
72,11,1,"0, 948"
73,11,1,"0, 959"
74,11;18,1;1,"0, 966;0, 543"
75,11,1,"0, 975"
76,11,1,"0, 983"
77,11,1,"0, 991"
78,11,1,"0, 996"
79,11,1,"0, 1000"
80,11;14,1;1,"0, 1020;0, 803"
81,11,1,"0, 1024"
82,11;16;19,2;10;1,"0, 1066|0, 1068;0, 381|0, 402|0, 489|0, 502|0, 579|0, 611|0, 622|0, 1316|0, 1340|0, 1359;0, 4"
83,11,1,"0, 1078"
84,11;13,1;3,"0, 1082;0, 30|0, 403|0, 961"
85,11,1,"0, 1087"
86,11;13;16;19,3;1;1;1,"0, 1103|0, 1365|0, 1449;0, 132;0, 753;0, 133"
87,11,1,"0, 1113"
88,11,1,"0, 1114"
89,11,1,"0, 1121"
90,11;13,3;1,"0, 1125|0, 1168|0, 1621;0, 43"
91,11,1,"0, 1127"
92,11,1,"0, 1129"
93,11,1,"0, 1134"
94,11,1,"0, 1139"
95,11;17,1;1,"0, 1144;0, 54"
96,11,1,"0, 1147"
97,11,1,"0, 1158"
98,11,2,"0, 1173|0, 1259"
99,11,2,"0, 1174|0, 1260"
100,11,3,"0, 1178|0, 1196|0, 1285"
101,11;12;18;19,1;2;1;2,"0, 1187;0, 28|0, 589;0, 81;0, 363|0, 603"
102,11,1,"0, 1204"
103,11,1,"0, 1211"
104,11;16,1;1,"0, 1220;0, 1597"
105,11;19,1;1,"0, 1229;0, 1452"
106,11,1,"0, 1231"
107,11;19,1;5,"0, 1234;0, 900|0, 932|0, 1796|0, 1821|0, 2199"
108,11,2,"0, 1238|0, 1274"
109,11;19,1;1,"0, 1240;0, 50"
110,11,1,"0, 1246"
111,11;19,1;1,"0, 1248;0, 84"
112,11,1,"0, 1256"
113,11,1,"0, 1266"
114,11,4,"0, 1292|0, 1345|0, 1440|0, 1497"
115,11,1,"0, 1296"
116,11,1,"0, 1298"
117,11,1,"0, 1302"
118,11,1,"0, 1304"
119,11,1,"0, 1316"
120,11,1,"0, 1347"
121,11,2,"0, 1348|0, 1407"
122,11,1,"0, 1351"
123,11,1,"0, 1354"
124,11,1,"0, 1357"
125,11,1,"0, 1359"
126,11,1,"0, 1363"
127,11,1,"0, 1368"
128,11,1,"0, 1369"
129,11;14;18,1;1;2,"0, 1373;0, 326;0, 96|0, 296"
130,11,1,"0, 1374"
131,11,1,"0, 1376"
132,11,1,"0, 1383"
133,11,1,"0, 1389"
134,11,1,"0, 1402"
135,11,1,"0, 1404"
136,11;13,1;2,"0, 1405;0, 1066|0, 1069"
137,11,1,"0, 1417"
138,11;14;15,1;1;1,"0, 1421;0, 792;0, 288"
139,11;14,1;1,"0, 1423;0, 85"
140,11,1,"0, 1424"
141,11,1,"0, 1426"
142,11,1,"0, 1431"
143,11;13;15,1;2;1,"0, 1435;0, 911|0, 1068;0, 81"
144,11;18,1;1,"0, 1437;0, 645"
145,11,1,"0, 1446"
146,11,1,"0, 1466"
147,11,1,"0, 1471"
148,11;17,1;1,"0, 1475;0, 113"
149,11,2,"0, 1491|0, 1523"
150,11,1,"0, 1505"
151,11,1,"0, 1509"
152,11,1,"0, 1517"
153,11,1,"0, 1518"
154,11,1,"0, 1519"
155,11,1,"0, 1521"
156,11,1,"0, 1564"
157,11,1,"0, 1567"
158,11;14,1;1,"0, 1623;0, 590"
159,11;15;19,1;5;1,"0, 1644;0, 105|0, 139|0, 202|0, 393|0, 504;0, 1387"
160,11,1,"0, 1646"
161,11;13;14;16;19,1;2;4;1;3,"2, 13;0, 485|2, 14;3, 8|0, 347|0, 484|2, 4;2, 7;0, 1762|0, 1775|2, 14"
162,11;19,1;1,"1, 1;1, 1"
163,11;19,1;1,"1, 2;1, 2"
164,12,3,"0, 21|0, 160|0, 552"
165,12;13,2;1,"0, 31|0, 444;0, 369"
166,12,2,"0, 36|0, 92"
167,12,1,"0, 38"
168,12,1,"0, 40"
169,12,1,"0, 51"
170,12,1,"0, 56"
171,12,1,"0, 71"
172,12,1,"0, 77"
173,12,1,"0, 98"
174,12,1,"0, 104"
175,12,9,"0, 122|0, 149|0, 291|0, 362|0, 395|0, 402|0, 407|0, 436|0, 560"
176,12,5,"0, 122|0, 291|0, 362|0, 395|0, 560"
177,12,2,"0, 140|0, 405"
178,12,5,"0, 144|0, 169|0, 224|0, 271|0, 578"
179,12,1,"0, 147"
180,12,4,"0, 151|0, 404|0, 409|0, 438"
181,12;13;17,3;1;1,"0, 155|0, 430|0, 550;0, 675;0, 79"
182,12,1,"0, 159"
183,12,1,"0, 171"
184,12,1,"0, 173"
185,12,1,"0, 175"
186,12,1,"0, 178"
187,12,6,"0, 182|0, 223|0, 320|0, 369|0, 373|0, 577"
188,12;14,2;1,"0, 198|0, 322;0, 5"
189,12,2,"0, 199|0, 323"
190,12,1,"0, 235"
191,12;13,1;1,"0, 239;0, 79"
192,12,1,"0, 263"
193,12,2,"0, 264|0, 394"
194,12;16,1;1,"0, 267;0, 1549"
195,12,1,"0, 273"
196,12,1,"0, 294"
197,12,1,"0, 303"
198,12,1,"0, 304"
199,12,1,"0, 313"
200,12,1,"0, 340"
201,12,1,"0, 351"
202,12,1,"0, 353"
203,12,1,"0, 355"
204,12,1,"0, 357"
205,12,1,"0, 360"
206,12,1,"0, 375"
207,12,1,"0, 386"
208,12;17,1;1,"0, 401;0, 162"
209,12,1,"0, 413"
210,12,1,"0, 442"
211,12,1,"0, 461"
212,12,1,"0, 468"
213,12;16,3;1,"0, 470|0, 506|0, 520;0, 899"
214,12,1,"0, 494"
215,12,1,"0, 511"
216,12,1,"0, 512"
217,12,1,"0, 515"
218,12,1,"0, 516"
219,12,1,"0, 518"
220,12,1,"0, 518"
221,12,1,"0, 543"
222,12,1,"0, 559"
223,12,1,"0, 561"
224,12,1,"0, 563"
225,12,1,"0, 580"
226,12,1,"0, 584"
227,12,1,"1, 1"
228,12,1,"1, 2"
229,13,3,"3, 1|0, 23|0, 76"
230,13,2,"3, 8|0, 494"
231,13,1,"0, 2"
232,13,2,"0, 14|0, 335"
233,13;17,9;1,"0, 15|0, 339|0, 632|0, 638|0, 976|0, 989|0, 1011|2, 8|2, 11;0, 157"
234,13,1,"0, 22"
235,13,1,"0, 24"
236,13,1,"0, 26"
237,13,2,"0, 28|0, 375"
238,13,4,"0, 29|0, 402|0, 793|0, 960"
239,13,1,"0, 32"
240,13,1,"0, 40"
241,13;16,1;1,"0, 50;0, 715"
242,13,1,"0, 51"
243,13,1,"0, 52"
244,13,1,"0, 58"
245,13,1,"0, 65"
246,13;19,1;1,"0, 70;0, 2263"
247,13,1,"0, 75"
248,13,1,"0, 80"
249,13,1,"0, 81"
250,13,2,"0, 84|0, 358"
251,13,3,"0, 85|0, 261|0, 359"
252,13,1,"0, 88"
253,13,1,"0, 91"
254,13,1,"0, 94"
255,13,1,"0, 96"
256,13,1,"0, 97"
257,13,1,"0, 101"
258,13,1,"0, 106"
259,13,1,"0, 107"
260,13,1,"0, 114"
261,13,1,"0, 117"
262,13,1,"0, 118"
263,13,1,"0, 125"
264,13,1,"0, 126"
265,13,1,"0, 128"
266,13,1,"0, 131"
267,13,1,"0, 135"
268,13,1,"0, 138"
269,13,1,"0, 139"
270,13,1,"0, 148"
271,13,1,"0, 149"
272,13,1,"0, 152"
273,13,2,"0, 153|0, 263"
274,13,1,"0, 155"
275,13,1,"0, 156"
276,13,1,"0, 158"
277,13,1,"0, 165"
278,13,2,"0, 167|0, 266"
279,13,1,"0, 175"
280,13,1,"0, 176"
281,13,1,"0, 177"
282,13,1,"0, 184"
283,13,1,"0, 193"
284,13,1,"0, 206"
285,13,1,"0, 209"
286,13,1,"0, 230"
287,13,1,"0, 233"
288,13,1,"0, 237"
289,13;14,1;1,"0, 240;0, 452"
290,13,1,"0, 242"
291,13;16,3;2,"0, 246|0, 275|0, 1129;0, 327|0, 625"
292,13,1,"0, 246"
293,13,1,"0, 249"
294,13,1,"0, 258"
295,13,1,"0, 259"
296,13,1,"0, 283"
297,13,1,"0, 290"
298,13,1,"0, 292"
299,13,1,"0, 293"
300,13,2,"0, 295|0, 412"
301,13,2,"0, 299|0, 1156"
302,13,19,"0, 300|0, 447|0, 472|0, 564|0, 587|0, 657|0, 672|0, 674|0, 692|0, 724|0, 772|0, 824|0, 858|0, 909|0, 1015|0, 1104|0, 1119|0, 1151|0, 1202"
303,13,1,"0, 311"
304,13,1,"0, 312"
305,13,1,"0, 314"
306,13,1,"0, 316"
307,13,1,"0, 318"
308,13,1,"0, 321"
309,13,1,"0, 322"
310,13,2,"0, 324|0, 366"
311,13,1,"0, 327"
312,13,1,"0, 347"
313,13,1,"0, 371"
314,13,1,"0, 374"
315,13,1,"0, 378"
316,13,2,"0, 380|0, 889"
317,13,1,"0, 385"
318,13,1,"0, 394"
319,13;14,1;1,"0, 395;0, 106"
320,13,2,"0, 398|0, 716"
321,13,1,"0, 401"
322,13,1,"0, 408"
323,13,2,"0, 409|0, 1113"
324,13,1,"0, 436"
325,13,1,"0, 441"
326,13,2,"0, 446|0, 1150"
327,13,1,"0, 451"
328,13,1,"0, 453"
329,13,1,"0, 459"
330,13;14,1;1,"0, 463;0, 117"
331,13,1,"0, 478"
332,13,1,"0, 484"
333,13,1,"0, 487"
334,13,1,"0, 499"
335,13,1,"0, 500"
336,13,1,"0, 513"
337,13,1,"0, 516"
338,13,1,"0, 527"
339,13,1,"0, 529"
340,13,1,"0, 531"
341,13,1,"0, 532"
342,13,1,"0, 538"
343,13;14,1;1,"0, 546;0, 336"
344,13,1,"0, 565"
345,13,1,"0, 568"
346,13,1,"0, 570"
347,13,1,"0, 574"
348,13,1,"0, 585"
349,13;14,1;1,"0, 603;0, 425"
350,13,3,"0, 618|0, 1051|0, 1192"
351,13,1,"0, 621"
352,13,1,"0, 623"
353,13;15;19,1;1;1,"0, 627;1, 1;0, 1525"
354,13,1,"0, 628"
355,13,4,"0, 631|0, 975|0, 988|2, 7"
356,13,1,"0, 634"
357,13,2,"0, 635|0, 637"
358,13,2,"0, 640|0, 991"
359,13,1,"0, 642"
360,13,1,"0, 643"
361,13,1,"0, 649"
362,13,5,"0, 661|0, 671|0, 726|0, 908|0, 1014"
363,13;18,1;1,"0, 665;0, 443"
364,13,1,"0, 668"
365,13,1,"0, 669"
366,13,1,"0, 677"
367,13,1,"0, 679"
368,13,1,"0, 683"
369,13;19,1;1,"0, 690;0, 154"
370,13,1,"0, 697"
371,13,1,"0, 708"
372,13,1,"0, 710"
373,13,1,"0, 711"
374,13,1,"0, 713"
375,13,1,"0, 735"
376,13,1,"0, 740"
377,13,1,"0, 750"
378,13;14,1;1,"0, 755;0, 72"
379,13;15,1;2,"0, 764;0, 185|0, 631"
380,13,1,"0, 766"
381,13,1,"0, 783"
382,13,1,"0, 801"
383,13,1,"0, 802"
384,13,1,"0, 807"
385,13,1,"0, 812"
386,13,4,"0, 839|0, 849|0, 873|0, 897"
387,13,1,"0, 843"
388,13,1,"0, 870"
389,13,2,"0, 874|0, 1078"
390,13,1,"0, 883"
391,13,1,"0, 885"
392,13,1,"0, 886"
393,13;16,1;1,"0, 900;0, 808"
394,13,1,"0, 904"
395,13,1,"0, 905"
396,13,1,"0, 906"
397,13,1,"0, 910"
398,13,1,"0, 920"
399,13;16,1;1,"0, 923;0, 685"
400,13,1,"0, 929"
401,13;19,1;1,"0, 933;0, 2221"
402,13,1,"0, 934"
403,13,1,"0, 940"
404,13,1,"0, 943"
405,13,1,"0, 947"
406,13,1,"0, 950"
407,13,1,"0, 953"
408,13,1,"0, 962"
409,13,1,"0, 967"
410,13,1,"0, 969"
411,13,1,"0, 971"
412,13,2,"0, 979|0, 984"
413,13,1,"0, 981"
414,13,1,"0, 993"
415,13,1,"0, 994"
416,13,1,"0, 998"
417,13,1,"0, 1001"
418,13,1,"0, 1007"
419,13,1,"0, 1009"
420,13,1,"0, 1010"
421,13,1,"0, 1013"
422,13,1,"0, 1020"
423,13,1,"0, 1021"
424,13,1,"0, 1027"
425,13;16,1;1,"0, 1030;0, 1447"
426,13,1,"0, 1035"
427,13,1,"0, 1037"
428,13,1,"0, 1041"
429,13,1,"0, 1046"
430,13,1,"0, 1048"
431,13,1,"0, 1050"
432,13,1,"0, 1059"
433,13,1,"0, 1060"
434,13,1,"0, 1063"
435,13,1,"0, 1064"
436,13,1,"0, 1067"
437,13;17,1;1,"0, 1071;0, 87"
438,13,1,"0, 1075"
439,13,1,"0, 1081"
440,13,1,"0, 1084"
441,13,1,"0, 1085"
442,13,1,"0, 1087"
443,13,1,"0, 1088"
444,13,1,"0, 1090"
445,13,1,"0, 1092"
446,13,1,"0, 1094"
447,13,1,"0, 1096"
